               Date|        Records|               Bytes|          Packets|
2016/04/11T00:00:00|        5335.25|         28895789.24|        232049.88|
2016/04/11T00:05:00|        5283.80|         36836122.48|        280427.03|
2016/04/11T00:10:00|        5111.50|         42635556.84|        365027.81|
2016/04/11T00:15:00|        5414.81|         45927440.73|        423895.41|
2016/04/11T00:20:00|        5742.46|         50885757.55|        474024.12|
2016/04/11T00:25:00|        5775.26|         51984359.46|        488523.08|
2016/04/11T00:30:00|        6007.22|         52453570.36|        468343.61|
2016/04/11T00:35:00|        6244.88|         46036227.96|        335595.12|
2016/04/11T00:40:00|        6436.15|         47764482.81|        358125.82|
2016/04/11T00:45:00|        6710.48|         56560268.05|        516467.54|
2016/04/11T00:50:00|        6988.29|         62533047.07|        542899.04|
2016/04/11T00:55:00|        6823.18|         57616949.45|        489765.63|
2016/04/11T01:00:00|        6805.43|         79113696.45|        933850.83|
2016/04/11T01:05:00|        6549.29|         66920427.33|        687545.65|
2016/04/11T01:10:00|        6791.58|         65654992.92|        705366.87|
2016/04/11T01:15:00|        6891.53|         61478732.26|        676974.47|
2016/04/11T01:20:00|        6399.58|         75981727.19|        834577.38|
2016/04/11T01:25:00|        6689.39|         56494629.06|        538262.89|
2016/04/11T01:30:00|        6281.00|         57165619.63|        546248.17|
2016/04/11T01:35:00|        6609.16|         72178333.49|        690721.74|
2016/04/11T01:40:00|        6360.72|         77455439.35|        802218.36|
2016/04/11T01:45:00|        5579.80|         56074515.72|        478468.76|
2016/04/11T01:50:00|        5855.57|         76553252.28|        970485.78|
2016/04/11T01:55:00|        6673.96|         75169089.68|        950777.29|
2016/04/11T02:00:00|        5832.64|         53000554.73|        581192.55|
2016/04/11T02:05:00|        6437.01|         48320730.23|        461689.51|
2016/04/11T02:10:00|        6242.36|         48518974.13|        389817.13|
2016/04/11T02:15:00|        6102.73|         55526024.02|        512420.15|
2016/04/11T02:20:00|        5346.98|         61113954.98|        663074.46|
2016/04/11T02:25:00|        5352.46|         39614725.46|        278145.04|
2016/04/11T02:30:00|        5476.43|         39678328.25|        348444.13|
